名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
null,aeuksddgoqti,null,null,null,null,125,97,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,122,95,0
null,aeuksddgoqti,null,null,null,null,115,97,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,135,97,0
null,aeuksddgoqti,null,null,null,null,136,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,133,97,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,139,95,0
null,aeuksddgoqti,null,null,null,null,138,96,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,135,95,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,138,95,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,136,96,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,135,95,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,126,97,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,134,97,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,137,95,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,128,94,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,128,97,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,132,98,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,124,95,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,121,97,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,128,97,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,134,98,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,138,96,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,135,93,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,129,94,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,127,95,0
null,aeuksddgoqti,null,null,null,null,132,97,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,131,94,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,127,95,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,128,97,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,124,97,0
null,aeuksddgoqti,null,null,null,null,131,94,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,127,95,0
null,aeuksddgoqti,null,null,null,null,123,96,0
null,aeuksddgoqti,null,null,null,null,129,98,0
null,aeuksddgoqti,null,null,null,null,122,96,0
null,aeuksddgoqti,null,null,null,null,126,94,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,127,94,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,126,97,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,134,97,0
null,aeuksddgoqti,null,null,null,null,138,95,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,138,96,0
null,aeuksddgoqti,null,null,null,null,128,97,0
null,aeuksddgoqti,null,null,null,null,126,98,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,121,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,131,94,0
null,aeuksddgoqti,null,null,null,null,133,97,0
null,aeuksddgoqti,null,null,null,null,134,94,0
null,aeuksddgoqti,null,null,null,null,123,94,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,127,98,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,123,96,0
null,aeuksddgoqti,null,null,null,null,138,96,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,131,94,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,136,95,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,136,95,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,131,98,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,130,94,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,136,96,0
null,aeuksddgoqti,null,null,null,null,128,98,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,134,97,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,126,97,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,119,96,0
null,aeuksddgoqti,null,null,null,null,129,98,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,131,94,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,137,94,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,136,96,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,138,95,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,136,95,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,127,95,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,135,94,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,123,94,0
null,aeuksddgoqti,null,null,null,null,125,97,0
null,aeuksddgoqti,null,null,null,null,119,97,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,139,96,0
null,aeuksddgoqti,null,null,null,null,134,94,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,123,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,135,97,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,138,95,0
null,aeuksddgoqti,null,null,null,null,123,97,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,136,97,0
null,aeuksddgoqti,null,null,null,null,129,98,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,122,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,127,95,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,128,97,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,129,94,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,135,94,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,130,94,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,132,94,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,128,98,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,130,97,0
null,aeuksddgoqti,null,null,null,null,134,94,0
null,aeuksddgoqti,null,null,null,null,130,98,0
null,aeuksddgoqti,null,null,null,null,138,96,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,125,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,128,98,0
null,aeuksddgoqti,null,null,null,null,128,94,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,133,97,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,135,96,0
null,aeuksddgoqti,null,null,null,null,135,97,0
null,aeuksddgoqti,null,null,null,null,135,96,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,128,97,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,132,97,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,131,97,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,127,95,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,132,97,0
null,aeuksddgoqti,null,null,null,null,137,94,0
null,aeuksddgoqti,null,null,null,null,128,94,0
null,aeuksddgoqti,null,null,null,null,125,94,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,127,94,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,135,96,0
null,aeuksddgoqti,null,null,null,null,132,97,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,135,96,0
null,aeuksddgoqti,null,null,null,null,133,97,0
null,aeuksddgoqti,null,null,null,null,124,96,0
null,aeuksddgoqti,null,null,null,null,135,96,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,131,94,0
null,aeuksddgoqti,null,null,null,null,129,95,0
null,aeuksddgoqti,null,null,null,null,137,96,0
null,aeuksddgoqti,null,null,null,null,125,95,0
null,aeuksddgoqti,null,null,null,null,125,96,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,133,94,0
null,aeuksddgoqti,null,null,null,null,126,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,126,97,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,133,95,0
null,aeuksddgoqti,null,null,null,null,125,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,125,95,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,133,98,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,139,95,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,125,96,0
null,aeuksddgoqti,null,null,null,null,138,96,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,137,95,0
null,aeuksddgoqti,null,null,null,null,140,94,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,135,96,0
null,aeuksddgoqti,null,null,null,null,130,98,0
null,aeuksddgoqti,null,null,null,null,132,96,0
null,aeuksddgoqti,null,null,null,null,123,96,0
null,aeuksddgoqti,null,null,null,null,129,94,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,132,98,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,128,95,0
null,aeuksddgoqti,null,null,null,null,128,94,0
null,aeuksddgoqti,null,null,null,null,123,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,125,96,0
null,aeuksddgoqti,null,null,null,null,124,95,0
null,aeuksddgoqti,null,null,null,null,127,97,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,124,95,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,131,96,0
null,aeuksddgoqti,null,null,null,null,131,95,0
null,aeuksddgoqti,null,null,null,null,129,93,0
null,aeuksddgoqti,null,null,null,null,134,98,0
null,aeuksddgoqti,null,null,null,null,146,95,0
null,aeuksddgoqti,null,null,null,null,137,96,0
null,aeuksddgoqti,null,null,null,null,129,97,0
null,aeuksddgoqti,null,null,null,null,125,94,0
null,aeuksddgoqti,null,null,null,null,124,96,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,125,96,0
null,aeuksddgoqti,null,null,null,null,135,94,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,136,97,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,132,97,0
null,aeuksddgoqti,null,null,null,null,133,97,0
null,aeuksddgoqti,null,null,null,null,130,94,0
null,aeuksddgoqti,null,null,null,null,136,96,0
null,aeuksddgoqti,null,null,null,null,128,96,0
null,aeuksddgoqti,null,null,null,null,137,95,0
null,aeuksddgoqti,null,null,null,null,132,97,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,134,95,0
null,aeuksddgoqti,null,null,null,null,121,95,0
null,aeuksddgoqti,null,null,null,null,126,95,0
null,aeuksddgoqti,null,null,null,null,127,96,0
null,aeuksddgoqti,null,null,null,null,141,95,0
null,aeuksddgoqti,null,null,null,null,132,94,0
null,aeuksddgoqti,null,null,null,null,130,96,0
null,aeuksddgoqti,null,null,null,null,129,96,0
null,aeuksddgoqti,null,null,null,null,130,95,0
null,aeuksddgoqti,null,null,null,null,123,96,0
null,aeuksddgoqti,null,null,null,null,134,96,0
null,aeuksddgoqti,null,null,null,null,121,95,0
null,aeuksddgoqti,null,null,null,null,122,96,0
null,aeuksddgoqti,null,null,null,null,129,94,0
null,aeuksddgoqti,null,null,null,null,133,96,0
null,aeuksddgoqti,null,null,null,null,126,94,0
null,aeuksddgoqti,null,null,null,null,132,95,0
null,aeuksddgoqti,null,null,null,null,129,97,0
